,countries,cases,todays,deaths,recovered,active
0,World,"189,785,636","79,625","4,084,260","173,192,793","12,508,583"
1,USA,"34,887,155",,"624,214","29,341,913","4,921,028"
2,India,"31,026,829",954,"412,563","30,183,876","430,390"
3,Brazil,"19,262,518",,"539,050","17,917,189","806,279"
4,Russia,"5,907,999","25,704","146,868","5,300,908","460,223"
5,France,"5,833,341",,"111,429","5,654,886","67,026"
6,Turkey,"5,507,455",,"50,415","5,370,178","86,862"
7,UK,"5,281,098",,"128,593","4,380,030","772,475"
8,Argentina,"4,719,952",,"100,695","4,345,549","273,708"
9,Colombia,"4,583,442",,"114,833","4,335,929","132,680"
10,Italy,"4,278,319",,"127,840","4,109,579","40,900"
11,Spain,"4,069,162",,"81,084","3,658,050","330,028"
12,Germany,"3,748,367",,"91,863","3,638,200","18,304"
13,Iran,"3,464,055",,"86,592","3,086,017","291,446"
14,Poland,"2,881,241",93,"75,205","2,652,743","153,293"
15,Indonesia,"2,726,803",,"70,192","2,176,412","480,199"
16,Mexico,"2,629,648","12,821","235,740","2,068,175","325,733"
17,South Africa,"2,253,240",,"65,972","1,982,122","205,146"
18,Ukraine,"2,243,605",737,"52,702","2,180,281","10,622"
19,Peru,"2,088,143",,"194,845",N/A,N/A
20,Netherlands,"1,766,102",,"17,773","1,656,855","91,474"
21,Czechia,"1,670,583",227,"30,335","1,637,541","2,707"
22,Chile,"1,594,496",,"34,207","1,545,186","15,103"
23,Philippines,"1,496,328","5,676","26,476","1,421,372","48,480"
24,Iraq,"1,466,529",,"17,707","1,332,578","116,244"
25,Canada,"1,422,246",,"26,472","1,390,926","4,848"
26,Belgium,"1,102,069","1,453","25,208","1,051,372","25,489"
27,Sweden,"1,093,923",,"14,607","1,069,981","9,335"
28,Romania,"1,081,467",,"34,245","1,046,610",612
29,Bangladesh,"1,071,774",,"17,278","905,807","148,689"
30,Pakistan,"983,719","2,327","22,720","917,329","43,670"
31,Portugal,"920,200",,"17,187","854,537","48,476"
32,Malaysia,"880,782",,"6,613","765,800","108,369"
